Subject,Task,Body Shape,Peak,InitialPeak,MomentPeak,kneeMrange,SecondPeak
29,OCMA,Apple,19.62733928571429,5.325877857142857,0.5143004285714287,0.6780795714285714,0.5229422857142857
29,OCMB,Apple,18.811433285714287,10.322518285714285,0.6056598571428572,0.8292691428571429,0.4693678571428571
29,PRF,Apple,21.218094125,12.24899075,0.519260625,0.73787325,0.37727525
30,FF,Pear,9.63443675,4.842856125,0.579766875,0.75534425,0.428998875
30,OCHA,Pear,0.9339474000000001,-4.3474995,0.0225775,0.2229106,0.39489929999999995
30,OCHB,Pear,1.6202137,-0.7308756,0.0524969,0.21604220000000002,0.4528722
30,OCMA,Pear,1.1799856,-4.3216347,0.0168454,0.1924052,0.3271054
30,OCMB,Pear,2.1021372,-0.42041680000000003,0.0736623,0.2147509,0.3935476
30,PRF,Pear,1.5311862,-1.8057501999999999,0.0592594,0.19467320000000002,0.26529
31,FF,Pear,17.196315,9.897120125,0.9245055,1.2909617500000001,0.471456375
31,OCHA,Pear,-2.4246231666666667,-10.399262166666666,-0.04854050000000001,0.29696133333333335,0.3763453333333333
31,OCHB,Pear,14.5931411,7.071389999999999,0.8064265,1.0443532000000002,0.1483791
31,OCMA,Pear,-1.9594884000000001,-9.065801500000001,0.0120169,0.3480689,0.43141999999999997
31,OCMB,Pear,15.385534400000001,7.5066019,0.8151332,1.0950994,0.20985230000000002
31,PRF,Pear,13.597894142857143,7.9351454285714285,0.6354834285714286,0.8732352857142857,0.2862592857142857
32,FF,Apple,28.563190125,19.534889375,1.42400025,1.715904625,0.407708625
32,OCHA,Apple,19.6765108,11.3755498,0.7142272000000001,0.7857869,0.5221795
32,OCHB,Apple,18.697577,13.735833999999999,1.0841681428571428,1.2833528571428572,1.4701417142857143
32,OCMA,Apple,18.089577600000002,12.4935232,0.7009126,0.8126229,0.574868
32,OCMB,Apple,18.878677444444445,14.902943222222222,1.1139844444444444,1.287250888888889,0.8983136666666667
32,PRF,Apple,21.471087125,14.826455750000001,1.12588225,1.292155375,0.37835525
35,FF,Pear,15.6837815,12.946932899999998,0.8274906,1.1737229,0.2610966
35,OCHA,Pear,11.307367428571428,6.766221571428572,0.39355871428571426,0.5855815714285715,0.13972485714285715
35,OCHB,Pear,13.278049,13.923766599999999,0.8610122,1.1542312,0.22990750000000001
35,OCMA,Pear,11.645538875,6.0517775,0.49192725,0.7604721249999999,0.219418
35,OCMB,Pear,11.407174,11.632968444444446,0.7546462222222222,1.0498409999999998,0.16453733333333334
35,PRF,Pear,8.973860888888888,11.911316222222222,0.4919194444444444,0.7438267777777778,0.22586122222222224
36,FF,Pear,10.986660428571428,12.366868,0.6027871428571429,0.7524768571428572,0.12151042857142857
36,OCHA,Pear,2.6785110000000003,3.4085447142857146,0.10820085714285714,0.2481195714285714,0.06607614285714285
36,OCHB,Pear,9.800705,9.427328,0.47512410000000005,0.5793931,0.0656741
36,OCMA,Pear,7.1392843333333325,4.509936888888889,0.30455366666666667,0.4783375555555555,0.023426888888888883
36,OCMB,Pear,9.299928900000001,9.7681994,0.4962408,0.5990356,0.0702967
36,PRF,Pear,8.750952428571429,10.18418,0.5348517142857143,0.638402,0.05686614285714286
37,FF,Apple,15.458065375,11.784952625,0.814768375,1.179232875,0.389385625
37,OCHA,Apple,12.54325525,4.2574555,0.368776375,0.46876412500000003,0.377511
37,OCHB,Apple,14.795748857142858,10.610015,0.48731385714285713,0.647731142857143,0.14097857142857143
37,OCMA,Apple,12.29463311111111,3.2772064444444444,0.40382233333333334,0.5085688888888888,0.35704211111111106
37,OCMB,Apple,14.070910625,9.914969875,0.54396225,0.72741375,0.1282745
37,PRF,Apple,11.8570451,7.0835998,0.46513219999999994,0.6959994,0.2940772
38,FF,Apple,17.2699344,13.069704999999999,0.6521076,1.062251,0.4483608
38,OCHA,Apple,-2.9019116666666664,-8.824771,-0.18795566666666666,0.16063433333333332,0.167264
38,OCHB,Apple,10.373588,5.464193000000001,0.3495166666666667,0.553367,0.10721683333333333
38,OCMA,Apple,-2.7677220000000005,-6.858702833333333,-0.17751150000000002,0.21382633333333334,0.17596250000000002
38,OCMB,Apple,13.020485166666667,6.456999499999999,0.3692,0.5578173333333333,0.07498866666666666
38,PRF,Apple,12.061304714285715,9.831785714285715,0.3438374285714286,0.6087352857142857,0.2122774285714286
39,FF,Pear,21.345405285714286,10.509932000000001,1.1119514285714285,1.2545852857142858,0.4047045714285714
39,OCHA,Pear,12.683834888888889,1.9746552222222222,0.4637402222222222,0.6219985555555555,0.4052736666666667
39,OCHB,Pear,13.651614,6.2416758,0.7933962,0.9287086,0.4091621
39,OCMA,Pear,13.8749898,3.8706024,0.5525683,0.7141029,0.388917
39,OCMB,Pear,13.602675999999999,7.111398111111111,0.7825685555555555,0.8692532222222222,0.40742022222222224
39,PRF,Pear,15.319780777777778,8.467604777777778,0.7438096666666667,0.8550554444444445,0.2062748888888889
41,FF,Pear,21.685771142857142,15.676409142857143,0.9530317142857143,1.2966411428571427,0.7822347142857142
41,OCHA,Pear,20.044093142857143,5.210453285714286,0.6534195714285714,0.6860278571428572,0.7279242857142857
41,OCHB,Pear,19.233832428571425,9.771396571428571,0.8535334285714286,1.0504698571428572,0.3563527142857143
41,OCMA,Pear,19.858141375,7.304909875,0.69039575,0.760373625,0.576050125
41,OCMB,Pear,17.558815285714285,7.709727142857143,0.7862121428571428,0.9905412857142857,0.32265185714285716
41,PRF,Pear,18.742516444444444,15.603105444444445,0.8110038888888889,1.0061633333333333,0.532071
42,FF,Apple,27.698431714285714,20.999719571428574,1.2128287142857144,1.4069431428571428,0.6544115714285714
42,OCHA,Apple,21.07040257142857,6.190449285714286,0.7041772857142857,0.7784794285714286,0.6546588571428572
42,OCHB,Apple,23.826622714285715,18.17103657142857,0.8492495714285714,0.9888537142857142,0.6628832857142858
42,OCMA,Apple,21.126212000000002,8.324693285714286,0.6733387142857143,0.7340774285714285,0.7987174285714286
42,OCMB,Apple,23.560910571428572,18.296244714285713,0.9302345714285715,1.0900472857142858,0.5929618571428571
42,PRF,Apple,25.81268257142857,19.264349857142857,0.9541594285714287,1.1053954285714285,0.5679067142857143
